,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
287,121,石塚綜一郎,360,,,,,,,,,,,,,,,,,,,,ソフトバンク
288,124,古澤勝吾,590,,,,,,,,,,,,,,,,,,,,ソフトバンク
289,125,大本将吾,300,,,,,,,,,,,,,,,,,,,,ソフトバンク
290,126,黒瀬健太,500,,,,,,,,,,,,,,,,,,,,ソフトバンク
291,128,伊藤大将,360,,,,,,,,,,,,,,,,,,,,ソフトバンク
292,130,勝連大稀,360,,,,,,,,,,,,,,,,,,,,ソフトバンク
293,131,舟越秀虎,360,,,,,,,,,,,,,,,,,,,,ソフトバンク
294,132,渡邉陸,360,,,,,,,,,,,,,,,,,,,,ソフトバンク
295,135,田城飛翔,300,,,,,,,,,,,,,,,,,,,,ソフトバンク
296,136,荒木翔太,360,,,,,,,,,,,,,,,,,,,,ソフトバンク
297,139,日暮矢麻人,300,,,,,,,,,,,,,,,,,,,,ソフトバンク
298,141,清水陸哉,300,,,,,,,,,,,,,,,,,,,,ソフトバンク
299,142,中村宜聖,360,,,,,,,,,,,,,,,,,,,,ソフトバンク
300,144,堀内汰門,500,,,,,,,,,,,,,,,,,,,,ソフトバンク
301,0,荻野貴司,7800,0.291,53.0,236.0,203.0,59.0,17.0,0.0,1.0,79.0,30.0,10.0,23.0,24.0,2.0,19.0,0.37,0.389,0.759,0.097,ロッテ
302,00,鳥谷敬,1600,0.139,42.0,39.0,36.0,5.0,2.0,0.0,0.0,7.0,5.0,6.0,8.0,1.0,2.0,0.0,0.205,0.194,0.4,0.205,ロッテ
303,1,清田育宏,6000,0.278,70.0,209.0,180.0,50.0,13.0,0.0,7.0,84.0,18.0,23.0,52.0,22.0,2.0,0.0,0.363,0.467,0.829,0.249,ロッテ
304,2,藤原恭大,1500,0.26,26.0,105.0,96.0,25.0,5.0,0.0,3.0,39.0,10.0,10.0,33.0,6.0,0.0,4.0,0.301,0.406,0.707,0.314,ロッテ
305,3,角中勝也,10000,0.244,84.0,254.0,217.0,53.0,9.0,3.0,2.0,74.0,21.0,15.0,41.0,24.0,5.0,2.0,0.332,0.341,0.673,0.161,ロッテ
306,4,藤岡裕大,3500,0.229,106.0,370.0,314.0,72.0,11.0,2.0,4.0,99.0,34.0,33.0,60.0,36.0,1.0,8.0,0.309,0.315,0.624,0.162,ロッテ
307,5,安田尚憲,1300,0.221,113.0,460.0,393.0,87.0,19.0,1.0,6.0,126.0,32.0,54.0,106.0,62.0,1.0,2.0,0.326,0.321,0.647,0.23,ロッテ
308,7,福田秀平,3600,0.216,62.0,225.0,204.0,44.0,11.0,1.0,5.0,72.0,20.0,19.0,73.0,17.0,0.0,3.0,0.276,0.353,0.629,0.324,ロッテ
309,8,中村奨吾,7200,0.249,120.0,499.0,422.0,105.0,25.0,0.0,8.0,154.0,57.0,49.0,97.0,52.0,8.0,6.0,0.341,0.365,0.706,0.194,ロッテ
310,10,加藤翔平,2400,0.3,22.0,79.0,70.0,21.0,5.0,1.0,0.0,28.0,13.0,3.0,15.0,8.0,1.0,3.0,0.38,0.4,0.78,0.19,ロッテ
311,13,平沢大河,2300,,,,,,,,,,,,,,,,,,,,ロッテ
312,22,田村龍弘,7000,0.217,92.0,237.0,203.0,44.0,7.0,0.0,4.0,63.0,12.0,23.0,45.0,20.0,3.0,1.0,0.295,0.31,0.605,0.19,ロッテ
313,23,三木亮,2700,0.25,22.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.25,0.25,0.5,0.4,ロッテ
314,25,岡大海,2800,0.143,62.0,64.0,56.0,8.0,0.0,0.0,0.0,8.0,12.0,2.0,18.0,7.0,0.0,7.0,0.238,0.143,0.381,0.281,ロッテ
315,31,菅野剛士,1440,0.26,81.0,275.0,223.0,58.0,10.0,3.0,2.0,80.0,24.0,20.0,55.0,45.0,2.0,1.0,0.389,0.359,0.748,0.2,ロッテ
316,32,佐藤都志也,1200,0.228,60.0,127.0,114.0,26.0,4.0,0.0,2.0,36.0,6.0,12.0,25.0,9.0,2.0,0.0,0.296,0.316,0.612,0.197,ロッテ
317,38,高部瑛斗,1000,0.1,5.0,11.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.2,0.364,ロッテ
318,39,吉田裕太,1400,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ロッテ
319,40,福田光輝,880,0.087,15.0,26.0,23.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,8.0,3.0,0.0,0.0,0.192,0.13,0.323,0.308,ロッテ
320,44,井上晴哉,5500,0.245,113.0,447.0,376.0,92.0,11.0,0.0,15.0,148.0,44.0,67.0,93.0,59.0,8.0,0.0,0.356,0.394,0.749,0.208,ロッテ
321,45,宗接唯人,750,,,,,,,,,,,,,,,,,,,,ロッテ
322,50,松田進,750,,,,,,,,,,,,,,,,,,,,ロッテ
323,51,山口航輝,560,,,,,,,,,,,,,,,,,,,,ロッテ
324,53,江村直也,1200,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,ロッテ
325,54,レアード,24200,0.233,39.0,147.0,133.0,31.0,3.0,0.0,6.0,52.0,15.0,15.0,28.0,13.0,0.0,0.0,0.299,0.391,0.69,0.19,ロッテ
326,55,細川亨,1600,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ロッテ
327,57,香月一也,650,,,,,,,,,,,,,,,,,,,,ロッテ
328,59,細谷圭,1720,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ロッテ
329,61,三家和真,750,,,,,,,,,,,,,,,,,,,,ロッテ
330,67,茶谷健太,500,0.062,31.0,17.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0.062,0.062,0.125,0.353,ロッテ
331,68,西巻賢二,480,0.25,11.0,19.0,16.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,6.0,2.0,0.0,0.0,0.333,0.312,0.646,0.316,ロッテ
332,79,マーティン,16000,0.234,104.0,448.0,359.0,84.0,15.0,0.0,25.0,174.0,72.0,65.0,100.0,70.0,17.0,7.0,0.382,0.485,0.866,0.223,ロッテ
333,99,柿沼友哉,980,0.16,56.0,129.0,106.0,17.0,1.0,0.0,0.0,18.0,6.0,9.0,31.0,5.0,3.0,0.0,0.219,0.17,0.389,0.24,ロッテ
334,122,和田康士朗,240,0.203,71.0,69.0,59.0,12.0,1.0,0.0,0.0,13.0,24.0,0.0,23.0,6.0,1.0,23.0,0.288,0.22,0.508,0.333,ロッテ
335,125,植田将太,300,,,,,,,,,,,,,,,,,,,,ロッテ
336,127,高濱卓也,1000,,,,,,,,,,,,,,,,,,,,ロッテ
337,0,水口大地,770,0.167,7.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.167,0.167,0.333,0.333,西武
