,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率,チーム
469,72,宮森智志,250,1.54,26.0,1.0,1.0,,0.5,0.0,0.0,1.0,7.0,23.0,8.87,4.0,4.0,12.0,0.0,12.0,2.0,4.63,楽天
470,79,渡邊佑樹,580,2.13,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,10.0,7.11,3.0,3.0,7.0,0.0,4.0,5.0,2.84,楽天
471,135,清宮虎多朗,250,,,,,,,,,,,,,,,,,,,,楽天
472,152,石田駿,240,,,,,,,,,,,,,,,,,,,,楽天
473,001,佐藤一磨,240,,,,,,,,,,,,,,,,,,,,オリックス
474,002,谷岡楓太,240,,,,,,,,,,,,,,,,,,,,オリックス
475,003,中田惟斗,240,,,,,,,,,,,,,,,,,,,,オリックス
476,008,松山真之,240,,,,,,,,,,,,,,,,,,,,オリックス
477,11,山崎福也,5000,3.45,24.0,5.0,8.0,,0.385,0.0,0.0,0.0,2.0,91.0,7.14,58.0,44.0,112.0,13.0,27.0,6.0,2.12,オリックス
478,011,川瀬堅斗,240,,,,,,,,,,,,,,,,,,,,オリックス
479,12,山下舜平大,700,,,,,,,,,,,,,,,,,,,,オリックス
480,012,辻垣高良,240,,,,,,,,,,,,,,,,,,,,オリックス
481,13,宮城大弥,5000,3.16,24.0,11.0,8.0,,0.579,2.0,1.0,0.0,0.0,127.0,7.71,57.0,52.0,137.0,11.0,30.0,6.0,1.82,オリックス
482,15,椋木蓮,1600,1.02,4.0,2.0,1.0,,0.667,0.0,0.0,0.0,0.0,21.0,10.7,2.0,2.0,8.0,0.0,8.0,1.0,4.08,オリックス
483,16,平野佳寿,20000,1.57,48.0,3.0,2.0,46.0,0.6,0.0,0.0,28.0,8.0,42.0,8.22,8.0,8.0,25.0,3.0,12.0,2.0,2.35,オリックス
484,17,増井浩俊,7000,3.86,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,11.0,10.61,4.0,4.0,13.0,0.0,4.0,0.0,3.86,オリックス
485,18,山本由伸,37000,1.68,26.0,15.0,5.0,193.0,0.75,4.0,2.0,0.0,0.0,205.0,9.56,42.0,36.0,137.0,6.0,42.0,5.0,1.96,オリックス
486,19,山岡泰輔,7200,2.6,22.0,6.0,8.0,128.0,0.429,2.0,1.0,0.0,1.0,99.0,6.96,42.0,37.0,118.0,6.0,27.0,7.0,1.9,オリックス
487,20,近藤大亮,2800,2.1,32.0,1.0,4.0,30.0,0.2,0.0,0.0,2.0,15.0,27.0,8.1,7.0,7.0,25.0,3.0,7.0,1.0,2.1,オリックス
488,21,竹安大知,1800,3.81,6.0,2.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,20.0,6.92,13.0,11.0,27.0,1.0,10.0,0.0,3.46,オリックス
489,22,村西良太,1300,4.44,22.0,1.0,1.0,,0.5,0.0,0.0,0.0,8.0,27.0,9.99,13.0,12.0,23.0,4.0,17.0,1.0,6.29,オリックス
490,26,能見篤史,4500,2.45,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,4.91,1.0,1.0,2.0,0.0,2.0,0.0,4.91,オリックス
491,28,富山凌雅,4200,11.05,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,7.0,8.59,9.0,9.0,10.0,3.0,3.0,0.0,3.68,オリックス
492,29,田嶋大樹,8000,2.66,20.0,9.0,3.0,125.0,0.75,1.0,1.0,0.0,0.0,92.0,6.62,41.0,37.0,115.0,12.0,37.0,2.0,2.66,オリックス
493,30,Ｋ-鈴木,2150,6.75,14.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,13.0,9.75,9.0,9.0,12.0,3.0,3.0,0.0,2.25,オリックス
494,35,比嘉幹貴,2800,2.53,30.0,5.0,0.0,,1.0,0.0,0.0,1.0,5.0,24.0,10.12,7.0,6.0,20.0,1.0,2.0,2.0,0.84,オリックス
495,37,中川颯,850,,,,,,,,,,,,,,,,,,,,オリックス
496,43,前佑囲斗,550,,,,,,,,,,,,,,,,,,,,オリックス
497,45,阿部翔太,830,0.61,44.0,1.0,0.0,44.0,1.0,0.0,0.0,3.0,22.0,42.0,8.59,3.0,3.0,22.0,1.0,10.0,2.0,2.05,オリックス
498,46,本田仁海,500,3.5,42.0,2.0,3.0,,0.4,0.0,0.0,2.0,14.0,40.0,8.24,18.0,17.0,39.0,3.0,16.0,4.0,3.3,オリックス
499,47,海田智行,2200,,,,,,,,,,,,,,,,,,,,オリックス
500,48,齋藤綱記,1300,6.75,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,8.44,4.0,4.0,7.0,0.0,1.0,0.0,1.69,オリックス
501,49,澤田圭佑,1700,,,,,,,,,,,,,,,,,,,,オリックス
502,52,横山楓,800,,,,,,,,,,,,,,,,,,,,オリックス
503,54,黒木優太,1575,2.36,27.0,2.0,2.0,,0.5,0.0,0.0,1.0,5.0,21.0,7.09,8.0,7.0,20.0,3.0,9.0,0.0,3.04,オリックス
504,56,小木田敦也,800,3.14,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,13.0,8.16,5.0,5.0,16.0,1.0,6.0,0.0,3.77,オリックス
505,57,山田修義,4600,4.35,12.0,1.0,0.0,,1.0,0.0,0.0,0.0,2.0,14.0,12.19,5.0,5.0,11.0,0.0,4.0,1.0,3.48,オリックス
506,58,ジェイコブ・ワゲスパック,7000,2.97,32.0,2.0,6.0,,0.25,0.0,0.0,5.0,7.0,81.0,10.03,28.0,24.0,63.0,4.0,29.0,4.0,3.59,オリックス
507,59,セサル・バルガス,1100,6.59,8.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,11.0,7.24,11.0,10.0,18.0,1.0,8.0,0.0,5.27,オリックス
508,63,山崎颯一郎,1300,3.0,15.0,0.0,2.0,36.0,0.0,0.0,0.0,1.0,6.0,29.0,7.25,15.0,12.0,30.0,2.0,10.0,1.0,2.5,オリックス
509,65,漆原大晟,2000,,,,,,,,,,,,,,,,,,,,オリックス
510,66,吉田凌,2300,8.1,6.0,1.0,1.0,,0.5,0.0,0.0,0.0,2.0,3.0,8.1,3.0,3.0,5.0,1.0,1.0,0.0,2.7,オリックス
511,68,中村勝,1350,8.53,3.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,4.0,5.68,6.0,6.0,12.0,0.0,3.0,1.0,4.26,オリックス
512,69,ジェシー・ビドル,7500,4.02,35.0,4.0,5.0,,0.444,0.0,0.0,0.0,13.0,45.0,10.04,20.0,18.0,36.0,4.0,20.0,7.0,4.46,オリックス
513,95,東晃平,270,4.85,4.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,7.0,4.85,8.0,7.0,17.0,1.0,5.0,1.0,3.46,オリックス
514,96,宇田川優希,240,0.81,19.0,2.0,1.0,,0.667,0.0,0.0,0.0,3.0,32.0,12.9,2.0,2.0,10.0,1.0,12.0,0.0,4.84,オリックス
515,98,張奕,900,2.38,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,7.94,9.0,6.0,23.0,0.0,10.0,2.0,3.97,オリックス
516,125,榊原翼,800,,,,,,,,,,,,,,,,,,,,オリックス
